Beam,2018-12-21,2415
Spark,2018-12-21,19959
Flink,2018-12-21,5389
Storm,2018-12-21,5469
Hadoop,2018-12-21,8364
Samza,2018-12-21,500
Apex,2018-12-21,7465
Kafka,2018-12-21,10545
Hive,2018-12-21,2270
HBase,2018-12-21,2440
Beam,2018-12-22,2417
Spark,2018-12-22,19969
Flink,2018-12-22,5414
Storm,2018-12-22,5471
Hadoop,2018-12-22,8369
Samza,2018-12-22,500
Apex,2018-12-22,7465
Kafka,2018-12-22,10558
Hive,2018-12-22,2271
HBase,2018-12-22,2440
Beam,2018-12-23,2419
Spark,2018-12-23,19976
Flink,2018-12-23,5425
Storm,2018-12-23,5471
Hadoop,2018-12-23,8371
Samza,2018-12-23,500
Apex,2018-12-23,7467
Kafka,2018-12-23,10576
Hive,2018-12-23,2272
HBase,2018-12-23,2440
Beam,2018-12-24,2420
Spark,2018-12-24,19979
Flink,2018-12-24,5434
Storm,2018-12-24,5472
Hadoop,2018-12-24,8372
Samza,2018-12-24,500
Apex,2018-12-24,7468
Kafka,2018-12-24,10585
Hive,2018-12-24,2273
HBase,2018-12-24,2441
Beam,2018-12-25,2421
Spark,2018-12-25,19989
Flink,2018-12-25,5451
Storm,2018-12-25,5475
Hadoop,2018-12-25,8374
Samza,2018-12-25,500
Apex,2018-12-25,7468
Kafka,2018-12-25,10592
Hive,2018-12-25,2273
HBase,2018-12-25,2442
Beam,2018-12-26,2422
Spark,2018-12-26,20007
Flink,2018-12-26,5462
Storm,2018-12-26,5476
Hadoop,2018-12-26,8376
Samza,2018-12-26,501
Apex,2018-12-26,7470
Kafka,2018-12-26,10602
Hive,2018-12-26,2277
HBase,2018-12-26,2445
Beam,2018-12-27,2426
Spark,2018-12-27,20018
Flink,2018-12-27,5480
Storm,2018-12-27,5479
Hadoop,2018-12-27,8381
Samza,2018-12-27,501
Apex,2018-12-27,7473
Kafka,2018-12-27,10618
Hive,2018-12-27,2277
HBase,2018-12-27,2447
Beam,2018-12-28,2428
Spark,2018-12-28,20038
Flink,2018-12-28,5498
Storm,2018-12-28,5480
Hadoop,2018-12-28,8388
Samza,2018-12-28,501
Apex,2018-12-28,7475
Kafka,2018-12-28,10629
Hive,2018-12-28,2280
HBase,2018-12-28,2453
Beam,2018-12-29,2429
Spark,2018-12-29,20057
Flink,2018-12-29,5512
Storm,2018-12-29,5482
Hadoop,2018-12-29,8391
Samza,2018-12-29,502
Apex,2018-12-29,7477
Kafka,2018-12-29,10635
Hive,2018-12-29,2281
HBase,2018-12-29,2455
Beam,2018-12-30,2429
Spark,2018-12-30,20061
Flink,2018-12-30,5524
Storm,2018-12-30,5482
Hadoop,2018-12-30,8391
Samza,2018-12-30,502
Apex,2018-12-30,7478
Kafka,2018-12-30,10639
Hive,2018-12-30,2282
HBase,2018-12-30,2458
Beam,2018-12-31,2430
Spark,2018-12-31,20068
Flink,2018-12-31,5527
Storm,2018-12-31,5481
Hadoop,2018-12-31,8391
Samza,2018-12-31,502
Apex,2018-12-31,7480
Kafka,2018-12-31,10644
Hive,2018-12-31,2281
HBase,2018-12-31,2460
Beam,2019-01-01,2431
Spark,2019-01-01,20073
Flink,2019-01-01,5528
Storm,2019-01-01,5481
Hadoop,2019-01-01,8390
Samza,2019-01-01,502
Apex,2019-01-01,7481
Kafka,2019-01-01,10648
Hive,2019-01-01,2281
HBase,2019-01-01,2460
Beam,2019-01-02,2431
Spark,2019-01-02,20082
Flink,2019-01-02,5532
Storm,2019-01-02,5481
Hadoop,2019-01-02,8394
Samza,2019-01-02,503
Apex,2019-01-02,7481
Kafka,2019-01-02,10651
Hive,2019-01-02,2283
HBase,2019-01-02,2463
Beam,2019-01-03,2432
Spark,2019-01-03,20094
Flink,2019-01-03,5561
Storm,2019-01-03,5483
Hadoop,2019-01-03,8397
Samza,2019-01-03,503
Apex,2019-01-03,7484
Kafka,2019-01-03,10658
Hive,2019-01-03,2289
HBase,2019-01-03,2466
Beam,2019-01-04,2437
Spark,2019-01-04,20101
